Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Ettinger, Adrianus Wilhelmus van",P108992,0.491,136,560,E-Way (60876) - Bestuurder<br />Mars (34780) - Bestuursvoorzitter
"Leers, Peter",P118235,NA,NA,NA,Kaufmann (5991) - Bestuurder
"Hofmans-Weijman, Maria Petronella Geertruida",P114187,1.0,206,953,Fysiotherapeuten (7) - Bestuurder
"Mommers, Bram Bernardus Johannes Maria",P131298,1.0,206,947,ARCADIS Nederland (2607) - Bestuurder
"Imming, Ronaldus Johannes Titus (Ron)",P118339,1.0,NA,NA,Fracties (60898) - Bestuurder
"Vledder, Roeland Henricus Adrianus van",P126806,0.495,154,291,Architectenbureaus (16534) - Bestuurder<br />IBM Nederland (60676) - Bestuursvoorzitter
"Bos-Steen, Adriana Maria van den",P110539,1.0,206,801,Holland Casino (60196) - Bestuurder
"Folkers, Yvonne",P100271,0.51,85,12,Agrarische (36722) - Bestuurder<br />Betonproducten (15133) - Bestuurder
"d'Hooghe, Jean-Louis Aloijs Maria",P129371,1.0,206,283,Rijn- en Binnenvaart (20117) - Bestuurder
"Jong, Thomas de",P117300,1.0,206,522,Zeevisserij (36945) - Bestuurder
"Wennekes, Petrus Nicolaus Maria",P115109,1.0,206,700,Textielverzorging (32595) - Bestuurder
"Huis in 't Veld, Simone Erlinde",P109707,1.0,NA,NA,Deutsche Bank Nederland (3062) - Bestuursvoorzitter
"Herten-Cuijpers, Ingrid Elisabeth Caspar van",P117994,1.0,NA,NA,Trespa (60887) - Bestuurder
"Vlaeminck, Peter Emiel Marie",P121620,1.0,NA,NA,YARA (60914) - Bestuursvoorzitter
"Klopper, Jan Philip Walter",P127188,1.0,206,307,Metaal en Techniek (PMT) (10557) - Lid Raad van Toezicht
"Schilthuis, Floris Andreas",P112370,1.0,206,533,Nederlandsche Bank (7837) - Bestuursvoorzitter
"Ooms, Frederik Hendrik Karel",P107512,0.667,116,64,KPN (60767) - Bestuurder<br />Getronics (60376) - Bestuursvoorzitter
"Raghoebarsing, Vinod Raveendra Kumar",P101843,1.0,NA,NA,Deutsche Bank Nederland (3062) - Bestuurder
"Roelands-Pol, Frederika Geertruida",P129479,1.0,NA,NA,Atradius (20269) - Bestuurder
"Bethlehem, Cornelis Jan",P107867,1.0,206,350,Werk en (re)Integratie (PWRI) (60655) - Bestuurder
"Donders, Monique Wilhelmina Maria",P114345,1.0,206,327,Zorg en Welzijn (44862) - Lid Raad van Toezicht
"Dorsten, Derk van",P113655,1.0,206,1030,TOTAL (32489) - Bestuurder
"Kragt, Jacco Christian",P107226,1.0,NA,NA,DSM (49417) - Lid Raad van Toezicht
"Kitslaar, Wilhelmus Franciscus Johannes Maria",P118758,1.0,206,830,Randstad (44057) - Bestuurder
"Gijn, Huibert Nicolaas van",P101832,1.0,NA,NA,Avery Dennison (60245) - Bestuurder
"Lanz, Julius Frederik",P105441,1.0,206,630,Textielgoederen (60859) - Bestuursvoorzitter
"Duijvestijn, Leonardus Paulus Maria",P127859,1.0,206,698,Textielverzorging (32595) - Bestuurder
"Dijkstra, Anske Pier",P129819,1.0,NA,NA,Sligro (60834) - Bestuurder
"Rijt, Gerardus Josephus Anthonius van",P111448,1.0,NA,NA,Vitol Anker (60056) - Bestuurder
"Huppertz, Anthonius Philippus Maria",P107620,1.0,206,962,Norit (3580) - Bestuurder
"Tulder, Cornelus Antonius Maria",P106460,1.0,NA,NA,Medische Specialisten (3) - Bestuurder
"Ganzeboom, Ronaldus Hermanus Hendrikus",P118755,1.0,206,900,Flexsecurity (60798) - Bestuurder
"Heuvel, Hendrik van den",P126720,1.0,NA,NA,ERIKS  (4308) - Bestuurder
"Heemskerk, Marcus Wilhelmus",P106487,0.344,15,122,Mercer (6102) - Bestuurder<br />Waterbouw (14400) - Actuaris<br />Schoen en Leder (11756) - Actuaris
"Wijk-Russchen, Roerlofje van",P103012,1.0,206,731,Spoorweg  (32) - Bestuurder
"Wanders, Rolandus Jacobus Xaverius",P112920,1.0,206,909,ANWB  (3691) - Bestuurder
"Leeuwen, Rob Philip van",P119479,0.591,116,248,Sportfondsen (90) - Bestuurder<br />Bakkersbedrijf (10682) - Lid Raad van Toezicht
"Swinkels, Petrus Johannes Franciscus",P102137,1.0,NA,NA,Bavaria (60786) - Bestuursvoorzitter
"Bulten, Frank",P113767,1.0,206,1011,SCA Hygiene (60777) - Bestuurder
"Raaijmakers, Martijn",P103710,0.208,3,10,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Bestuurder<br />Levensmiddelen Groothandel (34561) - Bestuurder<br />STIPP (60792) - Bestuurder<br />KLM Algemeen (2199) - Bestuurder<br />Woningcorporaties (20118) - Bestuurder"
"Ankone-van Lith, Antoinette Francisca Maria",P131851,1.0,NA,NA,Legal & General (48965) - Bestuurder
"Tilgenkamp, Terence",P103620,1.0,206,761,KLM-Cabinepersoneel (60109) - Bestuurder
"Groot, Hendrik de",P130272,1.0,NA,NA,Telegraaf (11492) - Bestuurder
"Dijkstra, Johannes Klaas",P130706,1.0,206,752,Getronics (60376) - Bestuurder
"Boevé, Coen",P113458,1.0,NA,NA,Staples (48375) - Bestuurder
"Jansen, Leonne Fransisca Aleida Maria",P127257,0.478,114,344,Beroepsvervoer (33519) - Bestuurder<br />Zoetwarenindustrie (32436) - Bestuursvoorzitter
"Lunsingh, Rudolf Eduard",P131517,1.0,206,382,Medewerkers Apotheken (15565) - Bestuurder
"Dam, Hendrikus van",P100902,1.0,206,1054,Loodswezen (60465) - Bestuurder
"Verbugt, Petronella Johanna Leonarda",P110836,1.0,NA,NA,Rabobank (37247) - Bestuurder
"Waal, Alexander Victor de",P115948,0.455,98,1053,Loodswezen (60465) - Bestuurder<br />Huisartsen  (1) - Mede-beleidsbepaler
"Limburg, Albert Louis Johan Karel",P111846,1.0,NA,NA,Martinair Vliegers (60327) - Bestuurder
"Kiffen, Aleidus Albertus",P119751,1.0,206,207,Vlakglas Verf (17571) - Bestuurder
"Kock, Lenie de",P129496,1.0,206,485,Schoenmakerij (32181) - Bestuurder
"Vijver, Marc Patrick",P113095,1.0,206,453,Bouwmaterialen (16458) - Bestuurder
"Schuring, Harm",P111334,1.0,NA,NA,Vredestein Banden (60921) - Bestuurder
"Lamein, Frank Peter",P129088,1.0,NA,NA,Staples (48375) - Bestuurder
"Loots, Wouter",P121317,1.0,NA,NA,AT&T (60800) - Bestuurder
"Dalen, Hasko Jan van",P107508,0.952,193,717,NN CDC fonds (R127943) - Bestuurder<br />ING Bank CDC fonds (R127942) - Bestuurder
"Hermans, Hans Eric",P130621,1.0,206,409,Zoetwarenindustrie (32436) - Bestuurder
"Have, Hendrikus Bernardus Maria ten",P114039,1.0,206,118,Levensmiddelen (42467) - Bestuursvoorzitter
"Philippus, Marlene",P114598,1.0,206,908,ANWB  (3691) - Bestuurder
"Bakker, Robertus Cornelis Louis",P102309,0.333,79,959,Norit (3580) - Bestuursvoorzitter<br />Consumentenbond (60754) - Bestuurder<br />SC Johnson (60419) - Bestuurder
"Wijthoff, Jacobus Pieter Simon",P106520,1.0,NA,NA,Alcatel-Lucent (60607) - Bestuurder
"Langenberg, Leonardus Johannes",P113993,1.0,206,1156,Aon Groep Nederland (20875) - Bestuurder
"Coeleman, Carola",P101023,1.0,206,802,Holland Casino (60196) - Bestuurder
"Zwart, Jacobus Cornelis Johannis",P129850,1.0,NA,NA,Staples (48375) - Bestuurder
"Houwelingen, Willem Johannes van",P129204,0.357,75,18,Bouwnijverheid (10547) - Bestuurder<br />Houtverwerkende industrie (15629) - Bestuurder<br />Levensmiddelen (42467) - Bestuurder
"Savenije, Henricus Joannes Dominicus Gregorius",P118654,1.0,206,632,Textielgoederen (60859) - Bestuurder
"Duivenvoorden, Wilhelmus Cornelis",P105273,1.0,NA,NA,Alliance (9041) - Bestuursvoorzitter
"Bouma, Janwillem",P106550,0.274,21,281,Pensioenfederatie (12345) - Bestuurder<br />Shell (SSPF) (4634) - Mede-beleidsbepaler<br />Shell Nederland (SNPS) (60960) - Bestuurder<br />ANWB  (3691) - Voorzitter Raad van Toezicht
"Vlak, Florentius Franciscus Ludovicus",P123717,1.0,206,324,Zorg en Welzijn (44862) - Bestuurder
"Vos, Roelf",P121631,1.0,206,960,Norit (3580) - Bestuurder
"Hooglander, Mattijs Rogier",P102745,1.0,206,509,ABN AMRO Bank (7113) - Bestuurder
"Hidding, Roelofje",P123423,1.0,206,619,Beroepsvervoer (33519) - Bestuursvoorzitter
"Velding, Wilhelmus Emma",P130935,1.0,206,77,KPN (60767) - Bestuurder
"Renders, Lucas Maria",P116656,1.0,NA,NA,Alliance (9041) - Bestuurder
"Horzen, Johan Adri van",P109632,1.0,206,509,ABN AMRO Bank (7113) - Bestuursvoorzitter
"Hertog, Vincent Hubrecht den",P109845,1.0,NA,NA,AT&T (60800) - Bestuursvoorzitter
"Wallet, Willem",P103951,1.0,206,66,KPN (60767) - Bestuurder
"Molekamp, Franciscus Augustinus",P110286,1.0,206,971,Huisartsen in Opleiding (60910) - Bestuurder
"Haegens, Antonius Johannes Hubertus Mathijs",P109634,1.0,206,373,Molenaars (18397) - Bestuurder
"Beekum, Leo van",P116861,1.0,206,250,Bakkersbedrijf (10682) - Bestuursvoorzitter
"Heesen, Niels van",P113902,1.0,206,835,Xerox (60793) - Mede-beleidsbepaler
"Brouwer, Rolf Richardus Johannes",P131683,1.0,206,876,Vopak (60882) - Bestuurder
"Spaans, Cornelis",P100747,0.485,169,391,Reisbranche (60709) - Lid Raad van Toezicht<br />Campina (60564) - Mede-beleidsbepaler
"Doorduyn, Arie drs",P113104,1.0,206,559,Sigarenindustrie (10560) - Lid Raad van Toezicht
"Rots, Maria Johanna Francisca (Marianne)",P108188,1.0,NA,NA,Progress Unilever (60114) - Bestuurder
"Vethaak, Jan Willem",P101235,1.0,206,1068,TNO (692) - Bestuurder
"Visser, Jozef Gerardus Engelbertus",P113210,1.0,NA,NA,Thales   (6004) - Bestuurder
"Stuker, Johannes Tamis",P108404,1.0,NA,NA,Kas Bank (4306) - Bestuurder
"Bitter, Karin",P113424,0.609,180,155,Koopvaardij (11322) - Lid Raad van Toezicht<br />Rijn- en Binnenvaart (20117) - Lid Raad van Toezicht
"Lindenhovius, Bernard Frederik Willem",P132416,1.0,NA,NA,Philips (900) - Bestuurder
"Smits, Rudolf Wilhelmus Maria",P108643,1.0,206,448,Tandtechniek (42469) - Bestuurder
"Stark, Lonneke Anne-Marie",P111727,1.0,206,896,Dierenartsen (9) - Bestuurder
"Rovers, Roland Andreas Gerardus Cornelis",P130674,1.0,206,861,Unirobe Meeus (60171) - Bestuurder
"Duijzer, Dirk",P122392,1.0,206,427,Landbouw (10565) - Voorzitter Raad van Toezicht
"Halder, Eugène Johannes Josephus Andreas van",P121176,1.0,206,757,KLM-Cabinepersoneel (60109) - Bestuurder
"Groot, Sjerk Arjen de",P129602,1.0,206,550,Zorgverzekeraars (23361) - Bestuurder
"Amerongen, Olaf Marinus Hendrikus",P129156,1.0,NA,NA,B&S (60924) - Bestuurder
"Pak, Aart Antoon",P130824,1.0,NA,NA,Royal Leerdam (60886) - Bestuurder
"Spruijbroek, Rudolph Jan Leonard",P101962,1.0,206,364,Banden- en Wielen (60374) - Bestuursvoorzitter
"Bruijn-Nooteboom, Petra Arina de",P100065,0.206,2,5,Slagersbedrijf (10561) - Lid Raad van Toezicht<br />Meubelindustrie (12212) - Bestuursvoorzitter<br />Zorg en Welzijn (44862) - Bestuurder<br />Woningcorporaties (20118) - Lid Raad van Toezicht<br />Pensioenfederatie (12345) - Bestuurder
"Hoevenaars, Arnoldus Henricus Antonius (Arnold)",P124428,1.0,206,324,Zorg en Welzijn (44862) - Voorzitter Raad van Toezicht
"Hofman, Geert Pieter",P103224,1.0,206,495,Media PNO  (1626) - Bestuurder
"Ceelaert, Alphonsus Josephus Maria",P118725,1.0,206,349,Houtverwerkende industrie (15629) - Bestuurder
"Kampers, Michiel",P109556,1.0,NA,NA,B&S (60924) - Bestuurder
"Hoek, Willem Bastiaan van der",P113283,1.0,NA,NA,Hunter Douglas (34124) - Bestuurder
"Verboon, Hans Hendrik",P117779,NA,NA,NA,Verzicht (36548) - Bestuurder
"Schoots, Alexander",P112439,1.0,206,690,TDF Botlek (60677) - Bestuurder
"Galesloot-Vaal, Elisabeth Wilhelmina (Liesbeth)",P108787,1.0,NA,NA,Delta Lloyd (16761) - Bestuurder
"Ket, Edwin",P111141,1.0,NA,NA,BMS (60801) - Bestuurder
"Borren, Johannes (Hans)",P100835,1.0,206,865,Notarieel (29) - Bestuurder
"Bergen, Nancy Adriana Leonarda Christina van",P125673,1.0,NA,NA,Provisum (5543) - Bestuurder
"Sillen, Wilhelmus Joseph Theodoor",P127250,1.0,206,955,Fysiotherapeuten (7) - Bestuurder
"Pavert, Wilhelmus Arnoldus van den",P129529,1.0,206,370,Banden- en Wielen (60374) - Bestuurder
"Lohuizen, Rob van",P111450,1.0,NA,NA,Fluor Nederland (60123) - Bestuurder
"Gengler, Arnoud Ubald Maria",P123415,1.0,NA,NA,Pensura (60899) - Bestuurder
"Willigenburg, Leo Philip",P114941,1.0,206,1163,Consumentenbond (60754) - Bestuurder
"Molen, Henk van der",P121202,1.0,206,1021,Transport (5580) - Bestuurder
"Tol, Sophia Etha van",P132429,1.0,206,910,ANWB  (3691) - Bestuurder
"Leenders, Paul",P112604,1.0,206,728,Spoorweg  (32) - Bestuurder
"Heilig, Jan",P117242,1.0,206,604,Openbaar Vervoer (60276) - Bestuurder
"Duijnstee, Lucie Elisabeth Marie",P131300,1.0,206,448,Tandtechniek (42469) - Lid Raad van Toezicht
"Verveld, Frank",P122950,1.0,206,600,Campina (60564) - Bestuurder
"Berg, Norma van den",P128439,1.0,206,1083,Ballast Nedam (5514) - Bestuurder
"Nibbering, Richard",P122662,1.0,NA,NA,Atradius (20269) - Bestuurder
"Zikken, Jantinus",P110769,1.0,206,1152,AVIKO (60883) - Bestuurder
"Keun, Fokko",P105617,1.0,206,393,Schoen en Leder (11756) - Voorzitter Raad van Toezicht
"Berge, Eusebius Johannes Maria ten",P113639,1.0,NA,NA,YARA (60914) - Bestuurder
"Heikoop, Martinus",P103626,1.0,NA,NA,Rabobank (37247) - Bestuurder
"Walree, Reinier Alexander van",P118788,1.0,NA,NA,Panteia (60513) - Bestuurder
"Haan, Frans de",P118619,1.0,206,743,Grafische Bedrijven (PGB) (14089) - Bestuurder
"Emmen, Alouisius Jacobus Hermen Jozef",P108384,1.0,206,175,Drankindustrie (30355) - Bestuurder
"Bults, Marcel Adriaan",P104038,1.0,NA,NA,Forbo (37681) - Bestuurder
"Dornseiffen, Boudewijn Scato",P111678,1.0,NA,NA,Deutsche Bank Nederland (3062) - Bestuurder
"Eeken, Johannes Petrus",P117696,0.569,83,372,Medewerkers Apotheken (15565) - Bestuurder<br />Brocacef (50018) - Bestuursvoorzitter<br />Brocacef (50018) - Bestuurder
"Topsvoort, Ronald Nicolaas",P104004,1.0,NA,NA,Unisys (60388) - Bestuurder
"Lustgraaf, Evert Eduard",P116584,0.538,156,194,Textielgoederen (60859) - Lid Raad van Toezicht<br />Vlakglas Verf (17571) - Bestuurder
"Hoekstra, Albertus",P117553,1.0,206,232,Notariaat (13358) - Bestuurder
"Hoon, Antonius Bernardus Johannes Marie de",P120173,1.0,NA,NA,Rabobank (37247) - Bestuurder
"Neelis, Bastiaan Maarten",P131089,1.0,206,1095,Hoogovens (7044) - Bestuurder
"Meerkerk, Frits Willem van",P101168,1.0,NA,NA,TBI (60342) - Bestuurder
"Kok, Eltjo Herman",P100474,0.433,111,417,KLM Vliegend Personeel (2200) - Bestuursvoorzitter<br />KLM Algemeen (2199) - Bestuurder<br />KLM-Cabinepersoneel (60109) - Bestuursvoorzitter
"Steenwinkel, Frederik Frans",P105632,1.0,NA,NA,Equens (46609) - Bestuurder
"Bubenheim, Manfred",P130181,1.0,206,1017,Transport (5580) - Bestuurder
"Egmond, Johannes Theodorus van",P102734,1.0,206,289,Rijn- en Binnenvaart (20117) - Bestuurder
"Wesseloo, Sandra",P111208,1.0,206,871,Vopak (60882) - Bestuurder
"Zonnenberg, Olaf Patrick Geerlig",P126539,1.0,NA,NA,McCain (60661) - Bestuurder
"Berg, Robert van den",P132342,1.0,NA,NA,Heineken (1757) - Bestuurder
"Laar, Wilhelmus Gerardus Johannes Maria van de",P118119,1.0,206,563,Mars (34780) - Bestuurder
"Mante, Aert Laurens",P107582,1.0,NA,NA,Martinair Vliegers (60327) - Bestuurder
"Essen, Hendrikus Jan van",P103915,1.0,206,646,Horeca (32868) - Lid Raad van Toezicht
Schuil,P102685,1.0,206,346,Houtverwerkende industrie (15629) - Bestuurder
"Balluseck, Felix Sàndor von",P124935,1.0,206,302,Metaal en Techniek (PMT) (10557) - Bestuurder
"Vergroesen, Petrus Johannes",P130972,1.0,NA,NA,Bisdommen (60263) - Bestuurder
"Wechem, Laurentius Joannes van",P129642,1.0,206,533,Nederlandsche Bank (7837) - Bestuurder
"Verhoeven, Laurentinus Josephus Wilhelmus",P111355,1.0,NA,NA,Bisdommen (60263) - Bestuurder
"Leeuwen, Antje van",P132229,1.0,206,208,Vlakglas Verf (17571) - Bestuurder
"Bergenhenegouwen, Francisca Cornelia Van",P130852,1.0,206,855,Unirobe Meeus (60171) - Bestuurder
"Streuer, Mark",P109823,1.0,206,227,Wonen (44381) - Bestuurder
"Westland, Pieter Johannes",P131078,1.0,206,226,Wonen (44381) - Lid Raad van Toezicht
"Cudok, Jozef Johannes Antonius",P104891,1.0,206,1019,Transport (5580) - Bestuurder
"Slikkerveer, Ivo",P111378,0.328,73,61,Metalektro (PME) (10542) - Bestuurder<br />Groothandel (42049) - Bestuursvoorzitter<br />Architectenbureaus (16534) - Bestuurder
"Lagendaal, Gerardus Klaas Reinier",P121234,1.0,206,467,KLM Algemeen (2199) - Bestuurder
"Wolf, Lucia Johanna van der",P107863,1.0,206,1087,E-Way (60876) - Bestuurder
"Berke, Leen",P131072,0.557,44,138,Bouwnijverheid (10547) - Bestuurder<br />Urenco (60592) - Bestuurder
"Dongen, Cornelis Wilhelmus Hendrikus van",P114053,1.0,NA,NA,Chevron (5032) - Bestuurder
"Janssen, Guus",P110583,1.0,206,635,Stork (6172) - Bestuurder
"Sardar, Taugir Akhtar",P127131,1.0,NA,NA,General Electric  (60944) - Bestuurder
"Wijst, Antonius Henricus Lambertus van der",P127446,1.0,206,386,Medewerkers Apotheken (15565) - Bestuurder
"Verheij, Gerard",P108908,0.496,134,44,KPN (60767) - Bestuurder<br />Metaal en Techniek (PMT) (10557) - Lid Raad van Toezicht
"Terwel, Lennert",P107896,1.0,NA,NA,Hewlett-Packard (60216) - Bestuurder
"Neut, Mariette Lucienne Monique van der",P111666,1.0,206,215,STIPP (60792) - Bestuurder
"Martens, Petrus Arnoldus Hendrikus",P104231,1.0,NA,NA,Staples (48375) - Bestuurder
"Stokman, Jacobus Jozef",P118902,1.0,206,623,Beroepsvervoer (33519) - Bestuurder
Rolf,P117176,1.0,206,245,Detailhandel (47678) - Bestuurder
"Raessens, Georges Frederik Maria Bernadette",P121513,0.663,136,141,Bouwnijverheid (10547) - Bestuurder<br />Heijmans (50555) - Bestuurder
"Rutten, Marcus Johannes Gerardus Maria",P103674,1.0,206,788,Coram (60082) - Bestuurder
"Borkink, Markus Johannes",P125798,1.0,NA,NA,VNU (60127) - Bestuurder
"Hakhoff- Daamen, Monique Johanna Antonia Maria",P129212,1.0,206,422,Landbouw (10565) - Bestuurder
"Mandos, René Johannes",P113498,0.467,98,852,Hewitt Nederland (39775) - Bestuursvoorzitter<br />Aon Groep Nederland (20875) - Bestuurder
"Lint, Meeuwis Marinus de",P101597,1.0,206,914,ANWB  (3691) - Lid Raad van Toezicht
"Haasdijk, Bernard Johan (Ben)",P117372,1.0,NA,NA,Equens (46609) - Bestuurder
"Volkers, Jorrit",P111098,1.0,206,1043,Deloitte (42569) - Bestuursvoorzitter
"Verhoef, Simone Elisabeth Margareta",P110375,1.0,NA,NA,Equens (46609) - Bestuurder
"Adriaans, Johannes Leonardus Maria",P127408,1.0,206,598,Campina (60564) - Bestuurder
"Dekker, Wim den",P128861,1.0,NA,NA,Lloyd's Register (50560) - Bestuurder
"Geurts, Walter Andreas Johannes",P109549,1.0,206,89,Slagersbedrijf (10561) - Bestuurder
"Neufeglise, Rogier",P131723,1.0,NA,NA,Vitol Anker (60056) - Bestuurder
"Engelen, Antonius Johannes Franciscus Maria van",P101351,1.0,206,1012,SCA Hygiene (60777) - Bestuurder
"Korevaar, Robert",P106890,1.0,NA,NA,Hewlett-Packard (60216) - Bestuurder
"Teitsma, Tonny",P105048,1.0,206,386,Medewerkers Apotheken (15565) - Bestuurder
"Berg, Maria Martha van der",P101724,1.0,NA,NA,Verloskundigen (8) - Bestuurder
"Huurne, Gerhardus Antonius Joseph ter",P117186,NA,NA,NA,Ford Nederland (4335) - Bestuurder
"Buller, Adrianus Philippus Maria",P114462,1.0,206,275,"Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Bestuurder"
"Schapendonk, Fransiscus Antonius Cornelis",P100415,1.0,206,1003,SCA Hygiene (60777) - Bestuurder
"Munniks, Robert René",P101661,1.0,206,179,Drankindustrie (30355) - Bestuurder
"Ruiter, Johannes Anton (Jan) de",P128687,1.0,NA,NA,RBS Nederland (60953) - Bestuurder
"Riel, van",P101612,NA,206,1210,Watson Nederland (60827) - Bestuurder
"Meijer, Josepha",P126621,0.497,87,85,Pensioenfederatie (12345) - Bestuurder<br />ABP  (30) - Bestuurder
"Goossens, Cijrillus Rudi Justine",P118867,1.0,NA,NA,Cargill (60294) - Bestuurder
"Bruin, Gerard de",P127042,1.0,206,658,Robeco (51180) - Bestuurder
"Benthem, Evert van",P130227,1.0,206,374,Molenaars (18397) - Bestuurder
"Roos, Thomas Jan Matthijs",P123933,1.0,NA,NA,Delta Lloyd (16761) - Bestuurder<br />Delta Lloyd (16761) - Bestuurder
"Ramakers, Jacobus Martinus Maria",P109163,1.0,206,572,Rockwool (60085) - Bestuurder
"Heijn, Ronaldus Adrianus Leonardus",P104092,1.0,206,451,Tandtechniek (42469) - Bestuurder
"Hamminga, Christiaan Theodoor",P101695,1.0,206,179,Drankindustrie (30355) - Bestuurder
"Luijk, Naboth Cornelis van",P102411,1.0,206,878,Shell (SSPF) (4634) - Bestuurder
"Schoppink, Marius Albert Herman",P111621,1.0,NA,NA,Grontmij (8416) - Bestuurder
"Dijk, Johannes Auke van",P125682,1.0,206,70,KPN (60767) - Bestuurder
"Bakker, Leendert Harm den",P126191,1.0,206,682,IBM Nederland (60676) - Bestuurder
"Oosting, Johannes",P132028,1.0,206,737,Spoorweg  (32) - Bestuurder
"Swens, Ronald Henri",P122976,1.0,206,929,Wolters Kluwer  (60540) - Bestuurder
"Poldervaart, Abraham Pieter",P118240,1.0,206,1076,Nedlloyd (47121) - Bestuurder
"Seffinga, Jan Gerrit",P105438,0.308,48,15,Levensmiddelen (42467) - Bestuurder<br />STIPP (60792) - Bestuurder<br />Bloemen en Planten (60929) - Bestuurder<br />Detailhandel (47678) - Bestuurder
"Domhof, Franciscus Wilhelmus Maria (Frank)",P126432,1.0,206,707,Grolsch Bierbrouwerij (3053) - Bestuurder
"Meulblok, Maarten",P113534,1.0,206,594,Protector (1491) - Bestuurder
"Groten, Gerardus Theodorus Maria",P122659,1.0,206,730,Spoorweg  (32) - Bestuurder
"Mans-Swalef, Monica Wilhelmina Johanna",P114639,1.0,206,857,Unirobe Meeus (60171) - Bestuurder
"Kiliaan, Juanita",P100838,0.497,96,845,Hoogovens (7044) - Bestuurder<br />Notarieel (29) - Lid Raad van Toezicht
"Winnubst, Franciscus Theodorus Wilhelmus",P131581,1.0,206,702,Atos Origin (60561) - Bestuurder
"Waal, de",P116572,1.0,NA,NA,Calpam (47162) - Bestuurder
"Zoeten, Gijsbert de",P104792,1.0,NA,NA,Progress Unilever (60114) - Bestuurder
"Elema, Mattheus",P105287,1.0,206,250,Bakkersbedrijf (10682) - Lid Raad van Toezicht
"Hoogterp, Sjoerd Simon",P109081,1.0,206,863,Notarieel (29) - Mede-beleidsbepaler
"Damad, Jean Jacques",P110470,1.0,206,642,Stork (6172) - Bestuurder
"Wassenaar, Tjeerd",P112264,1.0,206,874,Vopak (60882) - Bestuurder
"Winkelhuijzen, Wendy",P132197,1.0,206,823,Lanschot (10036) - Bestuurder
"Jorna - van Veenendaal, Manon",P130703,1.0,206,1194,Metro (47074) - Bestuurder
"Vos, Johannes Josephus",P117146,1.0,206,734,Spoorweg  (32) - Bestuurder
"Mulder-Mosman, Elisabeth Mathilda",P123877,1.0,NA,NA,Deutsche Bank Nederland (3062) - Bestuurder
"Horst, Frans Marcel Robert van der",P124705,1.0,206,508,ABN AMRO Bank (7113) - Bestuurder
"Eeltink, Andries Pieter",P108784,1.0,NA,NA,Vitol Anker (60056) - Bestuursvoorzitter
"Bruinsma, Theo Rein",P100341,1.0,206,634,Stork (6172) - Bestuurder
"Galen, Franciscus van",P104914,1.0,206,589,UWV (60889) - Bestuursvoorzitter
"Dresselhuijs, Willem",P104649,1.0,NA,NA,Sanoma (60873) - Bestuurder
"Hougée, Robert (Rob)",P107809,1.0,NA,NA,Martinair Vliegers (60327) - Bestuursvoorzitter
"Dijkstra, Pieter",P121088,1.0,206,1191,Metro (47074) - Bestuurder
"Lemmink, Frank Hendrikus",P132371,1.0,206,882,Shell (SSPF) (4634) - Bestuurder
"Kochen, Judith Johanna Maria",P122518,1.0,206,923,AZL (60011) - Bestuurder
"Appel, Esther Jolanda",P131804,1.0,NA,NA,Ernst & Young (6085) - Bestuurder
"Weelden, Guus Bastiaan Ferdinand van",P128258,1.0,206,333,Zorg en Welzijn (44862) - Bestuurder
"Gooijer, Yvonne Anna Maria de",P130450,1.0,206,693,TDF Botlek (60677) - Bestuurder
"Molenaar, Henk",P126987,1.0,206,36,Agrarische (36722) - Bestuurder
"Valck, de",P103442,0.516,160,112,Woningcorporaties (20118) - Mede-beleidsbepaler<br />Rockwool (60085) - Lid Raad van Toezicht
"Wouters, Augustinus Hyacinthus Maria",P121389,0.511,143,197,Technische Groothandel Vroegpensioen (60788) - Lid Raad van Toezicht<br />Metaal en Techniek (PMT) (10557) - Mede-beleidsbepaler
"Jonge van Ellemeet, Bonifacius Marinus de",P117481,1.0,206,873,Vopak (60882) - Bestuurder
"Ruijters, Joannes Peter Bernardus",P109165,1.0,206,571,Rockwool (60085) - Bestuurder
"Feijter, Jacobus de",P117185,1.0,206,806,De Hoop (6184) - Bestuurder
"Steenkamp, Thomas Bonifacius Maria",P127333,1.0,206,663,Robeco (51180) - Bestuurder
"Eggen, Johannes Wilhelmus",P122708,0.348,125,95,Reisbranche (60709) - Bestuurder<br />Drankindustrie (30355) - Bestuurder<br />TrueBlue (60896) - Bestuurder
"Stamkot, Christiaan",P103322,1.0,NA,NA,B&S (60924) - Bestuurder
"Baltussen, Arno",P126582,1.0,NA,NA,BP (60348) - Bestuurder
"Layton, Mark",P127553,1.0,NA,NA,Pensura (60899) - Bestuurder
Schaacke,P120460,1.0,206,363,Banden- en Wielen (60374) - Bestuurder
"Schmid, Bernard",P127843,1.0,NA,NA,Dow (48477) - Bestuurder
"Scheper, Johannes",P129649,1.0,206,1148,Cosun (7777) - Bestuurder
"Negro, Jonathan Michael",P106238,1.0,NA,NA,Abbott (60872) - Bestuurder
"Vuylsteke, Michael Joannes Marie Wolterus",P101624,1.0,NA,NA,Bisdommen (60263) - Bestuurder
"Nieuwenhuizen, Jacobus Petrus",P130974,1.0,206,1124,Achmea (60917) - Lid Raad van Toezicht
