Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Kersten, Antonius Petrus Adrianus",P122532,1.0,206,1081,Ballast Nedam (5514) - Bestuurder
"Cornelissen, Mark",P118474,1.0,NA,NA,Roeiers   (13) - Bestuurder
"Charro, Rudolphus Franciscus Maria de",P116995,1.0,206,316,Metalektro (PME) (10542) - Bestuurder
"Werf, Molle Johannes van der",P118445,1.0,206,235,Notariaat (13358) - Bestuurder
"Blokzijl, Cornelis Hubertus",P100016,0.487,52,277,Vopak (60882) - Mede-beleidsbepaler<br />Rijn- en Binnenvaart (20117) - Bestuurder
"Laeven, Johannes Mathijs",P102318,1.0,206,539,Elsevier (50052) - Bestuurder
"Duijn, Maarten Gijsbert Johannes van",P102289,1.0,206,841,Heijmans (50555) - Bestuurder
"Halkes, Johannes Cornelis Maria",P105036,1.0,206,1185,Ten Cate (60019) - Bestuurder
"Mulder-Volkers, Constance Maria",P118685,1.0,206,184,ABP (30) - Bestuurder
"Heijden, Reinout Amatus Maria van der",P127256,1.0,206,1162,Consumentenbond (60754) - Bestuurder
"Koster, Rob Charles",P121179,1.0,206,757,KLM-Cabinepersoneel (60109) - Bestuurder
"Schoon, Hendrikus Johannes Julius",P120168,1.0,206,455,Bouwmaterialen (16458) - Bestuurder
"Dijkshoorn, Maarten Willem",P119312,1.0,206,640,Stork (6172) - Bestuurder
"Geerlings, Stefan",P103624,1.0,206,757,KLM-Cabinepersoneel (60109) - Bestuurder
"Weele, Helena Corinne van",P113285,1.0,206,375,Molenaars (18397) - Bestuurder
"Dekkers, Gerrit Frederik",P111696,0.359,43,9,Architectenbureaus (16534) - Bestuurder<br />Agrarische (36722) - Bestuurder<br />Bloemen en Planten (60929) - Bestuurder
"Verbakel, Adrianus Johannes",P109781,1.0,NA,NA,Forbo (37681) - Bestuurder
"Vos, Michael",P111848,1.0,206,283,Rijn- en Binnenvaart (20117) - Bestuurder
"Mali, Pieter Cornelis",P110476,1.0,NA,NA,Fluor Nederland (60123) - Bestuurder
"Basten Batenburg, Joris Hubertus Marie van",P105314,1.0,206,382,Medewerkers Apotheken (15565) - Bestuurder
"Joop, René",P109895,1.0,206,1128,Sagittarius (60689) - Bestuurder
"Kasper, Arend",P121448,1.0,206,493,Reisbranche (60709) - Bestuurder
"Scheer, Frits Jeroen van der",P106618,1.0,NA,NA,NIBC (7065) - Bestuurder
"Beus, Dick Johan de",P119233,1.0,206,636,Stork (6172) - Bestuurder
"Damen-Evers, Cornelia Adriana Thérèse",P130988,1.0,NA,NA,Rabobank (37247) - Bestuurder
"Wichems, Gerrit Jan (Geke)",P115940,1.0,206,108,Vleesindustrie (14311) - Bestuurder
"Berg, Willem Jelle",P121321,1.0,206,181,ABP  (30) - Bestuurder
"Roos, Hans Willem de",P131229,1.0,206,472,KLM Algemeen (2199) - Bestuurder
"Kempen, Hans Adriaan",P106743,1.0,206,821,Lanschot (10036) - Bestuurder
